genres,id,popularity,production_countries,release_date,revenue,title
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",862,21.946943,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/10/30,373554033,Toy Story
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",8844,17.015539,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/15,262797249,Jumanji
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",15602,11.7129,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,0,Grumpier Old Men
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",31357,3.859495,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,81452156,Waiting to Exhale
"[{'id': 35, 'name': 'Comedy'}]",11862,8.387519,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/2/10,76578911,Father of the Bride Part II
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",949,17.924927,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/15,187436818,Heat
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11860,6.677277,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/15,0,Sabrina
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",45325,2.561161,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,0,Tom and Huck
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",9091,5.23158,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,64350171,Sudden Death
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",710,14.686036,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/16,352194034,GoldenEye
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9087,6.318445,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/17,107879496,The American President
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",12110,5.430331,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,0,Dracula: Dead and Loving It
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",21032,12.140733,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,11348324,Balto
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",10858,5.092,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,13681765,Nixon
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1408,7.284477,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/22,10017322,Cutthroat Island
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",524,10.137389,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/22,116112375,Casino
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4584,10.673167,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/13,135000000,Sense and Sensibility
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",5,9.026586,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/12/9,4300000,Four Rooms
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",9273,8.205448,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/10,212385533,Ace Ventura: When Nature Calls
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",11517,7.337906,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995/11/21,35431113,Money Train
